id,title,subtitle,author,matter,editorial,collection,binding,country,lenguage of publication,original lenguage,ISBN,EAN,dimension,weight,number of pages,publication date,price (€),untaxed price (€),book cover
1,Operación Kazán,Premio Primavera de Novela 2022,"Vallés, Vicente",Ficción moderna y contemporanea,Espasa,ESPASA NARRATIVA,Cartoné,España,Castellano,Castellano,978-84-670-6368-4,9788467063684,230 x 150 mm.,624 gramos,424,23-03-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788467/978846706368.gif
2,El mentalista,,"Läckberg, Camilla / Fexeus, Henrik",Obra de misterio y suspense,Editorial Planeta,"Conde Fisas, Claudia",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-08-25519-2,9788408255192,230 x 150 mm.,922 gramos,720,16-03-2022,"23,90","22,98",https://static.cegal.es/imagenes/marcadas/9788408/978840825519.gif
3,El mapa de los anhelos,,"Kellen, Alice",Ficción moderna y contemporanea,Editorial Planeta,(Fuera de colección),Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-25595-6,9788408255956,230 x 150 mm.,560 gramos,496,30-03-2022,"17,90","17,21",https://static.cegal.es/imagenes/marcadas/9788408/978840825595.gif
4,TOKYO REVENGERS 05,,"WAKUI, KEN",Novelas gráficas: manga,NORMA EDITORIAL,TOKYO REVENGERS,Libro en otro formato,España,Castellano,Castellano,978-84-679-4711-3,9788467947113,210 x 140 mm.,200 gramos,374,25-03-2022,"16,00","15,38",https://static.cegal.es/imagenes/marcadas/9788467/978846794711.gif
5,El Libro Negro de las Horas,,"García Sáenz de Urturi, Eva",Obra de misterio y suspense,Editorial Planeta,Autores Españoles e Iberoamericanos,Cartoné,España,Castellano,Castellano,978-84-08-25285-6,9788408252856,230 x 150 mm.,586 gramos,384,02-02-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788408/978840825285.gif
6,El castillo de Barbazul,Terra Alta III,"Cercas, Javier",Ficción moderna y contemporanea,Tusquets Editores,Andanzas,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-1107-084-3,9788411070843,225 x 148 mm.,580 gramos,400,02-03-2022,"21,90","21,06",https://static.cegal.es/imagenes/marcadas/9788411/978841107084.gif
7,Violeta,,"Allende, Isabel",Ficción moderna y contemporanea,PLAZA & JANES,EXITOS,Cartoné,España,Castellano,Castellano,978-84-01-02747-5,9788401027475,237 x 161 mm.,636 gramos,400,25-01-2022,"22,90","22,02",https://static.cegal.es/imagenes/marcadas/9788401/978840102747.gif
8,Cómo hacer que te pasen cosas buenas,"Entiende tu cerebro, gestiona tus emociones, mejora tu vida","Rojas Estapé, Marian",Autoayuda y desarrollo personal,Espasa,Fuera de colección,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-670-5330-2,9788467053302,230 x 150 mm.,278 gramos,232,09-10-2018,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788467/978846705330.gif
9,El peligro de estar cuerda,,"Montero, Rosa",Psiquiatría,Seix Barral,Biblioteca Breve,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-322-4064-5,9788432240645,230 x 133 mm.,484 gramos,360,30-03-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788432/978843224064.gif
10,La muerte contada por un sapiens a un neandertal,,"Millás, Juan José / Arsuaga, Juan Luis",Evolución,ALFAGUARA,Hispánica,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-204-6105-2,9788420461052,239 x 154 mm.,477 gramos,312,01-02-2022,"18,90","18,17",https://static.cegal.es/imagenes/marcadas/9788420/978842046105.gif
11,Encuentra tu persona vitamina,,"Rojas Estapé, Marian",Autoayuda y desarrollo personal,Espasa,F. COLECCION,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-670-6221-2,9788467062212,230 x 150 mm.,374 gramos,328,25-08-2021,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788467/978846706221.gif
12,Las Perrerías de Mike 1. Mikecrack y la Estrella Maldita,,Mikecrack,"Relatos de terror y fantasmas, obras de suspense (infantil/juvenil)",Ediciones Martínez Roca,4You2,Cartoné,España,Castellano,Castellano,978-84-270-4929-1,9788427049291,215 x 140 mm.,566 gramos,192,23-03-2022,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788427/978842704929.gif
13,La Bestia,Premio Planeta 2021,"Mola, Carmen",Ficción moderna y contemporanea,Editorial Planeta,Autores Españoles e Iberoamericanos,Cartoné,España,Castellano,Castellano,978-84-08-24984-9,9788408249849,230 x 150 mm.,732 gramos,544,04-11-2021,"22,90","22,02",https://static.cegal.es/imagenes/marcadas/9788408/978840824984.gif
14,Por si las voces vuelven,,"Martín, Ángel",Autoayuda y desarrollo personal,Editorial Planeta,No Ficción,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-24921-4,9788408249214,230 x 150 mm.,293 gramos,256,17-11-2021,"17,90","17,21",https://static.cegal.es/imagenes/marcadas/9788408/978840824921.gif
15,Cuando éramos ayer,,"Eyre, Pilar",Ficción moderna y contemporanea,Editorial Planeta,Autores Españoles e Iberoamericanos,Cartoné,España,Castellano,Castellano,978-84-08-25473-7,9788408254737,230 x 150 mm.,566 gramos,368,23-03-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788408/978840825473.gif
16,Boulevard (Libro 1),Edición revisada por la autora,"Salvador, Flor M.",Ficción general (infantil/juvenil),MONTENA,Wattpad,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-19169-18-1,9788419169181,215 x 142 mm.,363 gramos,360,24-02-2022,"15,95","15,34",https://static.cegal.es/imagenes/marcadas/9788419/978841916918.gif
17,Purgatorio,,"Sistiaga, Jon",Obra de misterio y suspense,PLAZA & JANES,Éxitos,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-01-02821-2,9788401028212,229 x 154 mm.,544 gramos,416,17-03-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788401/978840102821.gif
18,Nosotros en la luna,,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,Novela,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-23738-9,9788408237389,190 x 125 mm.,310 gramos,480,27-01-2021,"8,95","8,61",https://static.cegal.es/imagenes/marcadas/9788408/978840823738.gif
19,Últimos días en Berlín,Finalista Premio Planeta 2021,"Sánchez-Garnica, Paloma",Ficción moderna y contemporanea,Editorial Planeta,Autores Españoles e Iberoamericanos,Cartoné,España,Castellano,Castellano,978-84-08-24985-6,9788408249856,230 x 150 mm.,854 gramos,648,04-11-2021,"22,90","22,02",https://static.cegal.es/imagenes/marcadas/9788408/978840824985.gif
20,Antes de diciembre,,"Marcús, Joana",Relatos románticos y de relaciones interpersonales (infantil/juvenil),MONTENA,WATTPAD,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-18483-44-8,9788418483448,215 x 142 mm.,487 gramos,496,11-11-2021,"17,95","17,26",https://static.cegal.es/imagenes/marcadas/9788418/978841848344.gif
21,Haikyû!! nº 06,,"Furudate, Haruichi",Edad de interés: a partir de 8 años,Planeta Cómic,"Nogués Graell, Sandra",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-9174-769-7,9788491747697,177 x 111 mm.,206 gramos,192,23-03-2022,"7,95","7,64",https://static.cegal.es/imagenes/marcadas/9788491/978849174769.gif
22,Una historia ridícula,,"Landero, Luis",Ficción moderna y contemporanea,Tusquets Editores S.A.,Andanzas,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-1107-069-0,9788411070690,225 x 148 mm.,414 gramos,288,02-02-2022,"19,00","18,27",https://static.cegal.es/imagenes/marcadas/9788411/978841107069.gif
23,La señora March,,"Feito, Virginia",Edad de interés: a partir de 12 años,LUMEN,Narrativa,Tapa blanda o Bolsillo,España,Castellano,Inglés,978-84-264-0965-2,9788426409652,229 x 153 mm.,490 gramos,328,13-01-2022,"19,90","19,13",https://static.cegal.es/imagenes/marcadas/9788426/978842640965.gif
24,Cauterio,,"Lijtmaer, Lucía",Ficción moderna y contemporanea,Editorial Anagrama,Narrativas hispánicas,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-339-9946-7,9788433999467,220 x 140 mm.,350 gramos,222,02-03-2022,"18,90","18,17",https://static.cegal.es/imagenes/marcadas/9788433/978843399946.gif
25,Amanda Black 4 - La Campana de Jade,,"Gómez-Jurado, Juan / Montes, Bárbara",Edad de interés: a partir de 8 años,B de Blok,Amanda Black,Cartoné,España,Castellano,Castellano,978-84-18688-27-0,9788418688270,212 x 149 mm.,376 gramos,208,24-03-2022,"14,96","14,38",https://static.cegal.es/imagenes/marcadas/9788418/978841868827.gif
26,El Principito (edición oficial),,"Saint-Exupéry, Antoine de",Edad de interés: a partir de 8 años,Salamandra Infantil y Juvenil,SAINT-EXUPERY ANTOINE,Tapa blanda o Bolsillo,España,Castellano,Francés,978-84-9838-149-8,9788498381498,180 x 113 mm.,128 gramos,96,15-01-2008,"6,95","6,68",https://static.cegal.es/imagenes/marcadas/9788498/978849838149.gif
27,Fleur. Mi desesperada decisión (DARKS 0),,"Godoy, Ariana",Relatos románticos y de relaciones interpersonales (infantil/juvenil),MONTENA,DARKS,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-18798-71-9,9788418798719,215 x 140 mm.,340 gramos,336,10-03-2022,"17,95","17,26",https://static.cegal.es/imagenes/marcadas/9788418/978841879871.gif
28,La hipótesis del amor,,"Hazelwood, Ali",Narrativa romántica adulta y contemporánea,Contraluz Editorial,"Sánchez Díez, Ana Isabel",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-18945-18-2,9788418945182,230 x 160 mm.,646 gramos,488,17-03-2022,"18,95","18,22",https://static.cegal.es/imagenes/marcadas/9788418/978841894518.gif
29,Un cuento perfecto,,"Benavent, Elísabet",Narrativa romántica adulta y contemporánea,DEBOLSILLO,DEBOLSILLO,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-663-5481-3,9788466354813,191 x 126 mm.,445 gramos,640,18-02-2021,"9,95","9,57",https://static.cegal.es/imagenes/marcadas/9788466/978846635481.gif
30,Trilogía Fuego 1. Ciudades de humo,,"Marcús, Joana",Relatos románticos y de relaciones interpersonales (infantil/juvenil),Crossbooks,Ficción,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-08-25185-9,9788408251859,225 x 145 mm.,746 gramos,496,16-02-2022,"17,95","17,26",https://static.cegal.es/imagenes/marcadas/9788408/978840825185.gif
31,Invisible,,"Moreno, Eloy",Edad de interés: a partir de 12 años,Nube de Tinta,NUBE DE TINTA,Tapa blanda o Bolsillo,España,Castellano,Inglés,978-84-16588-43-5,9788416588435,212 x 141 mm.,352 gramos,304,01-02-2018,"15,95","15,34",https://static.cegal.es/imagenes/marcadas/9788416/978841658843.gif
32,Tormenta en la villa de las telas (La villa de las telas 5),,"Jacobs, Anne",Sagas,PLAZA & JANES,"Guelbenzu De San Eustaquio, Ana",,Encuadernación:,País de publicación :,Idioma de publicación :,978-84-01-02751-2,9788401027512,229 x 152 mm.,726 gramos,576,24-03-2022,"20,90","20,10",https://static.cegal.es/imagenes/marcadas/9788401/978840102751.gif
33,Pierde grasa con comida real,Una guía para alcanzar una composición corporal saludable,"Ríos, Carlos",Forma física y alimentación,Ediciones Paidós,Divulgación,Tapa blanda o Bolsillo,España,Castellano,Castellano,978-84-493-3918-9,9788449339189,233 x 155 mm.,542 gramos,320,16-03-2022,"17,95","17,26",https://static.cegal.es/imagenes/marcadas/9788449/978844933918.gif
