id,title,subtitle,author,editorial,ISBN,price (€),untaxed price (€),book cover
1,Operación Kazán,Premio Primavera de Novela 2022,"Vallés, Vicente",Espasa,978-84-670-6368-4,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788467/978846706368.gif
2,El mentalista,,"Läckberg, Camilla / Fexeus, Henrik",Editorial Planeta,978-84-08-25519-2,23.90,22.98,https://static.cegal.es/imagenes/marcadas/9788408/978840825519.gif
3,El mapa de los anhelos,,"Kellen, Alice",Editorial Planeta,978-84-08-25595-6,17.90,17.21,https://static.cegal.es/imagenes/marcadas/9788408/978840825595.gif
4,TOKYO REVENGERS 05,,"WAKUI, KEN",NORMA EDITORIAL,978-84-679-4711-3,16.00,15.38,https://static.cegal.es/imagenes/marcadas/9788467/978846794711.gif
5,El Libro Negro de las Horas,,"García Sáenz de Urturi, Eva",Editorial Planeta,978-84-08-25285-6,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788408/978840825285.gif
6,El castillo de Barbazul,Terra Alta III,"Cercas, Javier",Tusquets Editores,978-84-1107-084-3,21.90,21.06,https://static.cegal.es/imagenes/marcadas/9788411/978841107084.gif
7,Violeta,,"Allende, Isabel",PLAZA & JANES,978-84-01-02747-5,22.90,22.02,https://static.cegal.es/imagenes/marcadas/9788401/978840102747.gif
8,Cómo hacer que te pasen cosas buenas,"Entiende tu cerebro, gestiona tus emociones, mejora tu vida","Rojas Estapé, Marian",Espasa,978-84-670-5330-2,19.90,19.13,https://static.cegal.es/imagenes/marcadas/9788467/978846705330.gif
9,El peligro de estar cuerda,,"Montero, Rosa",Seix Barral,978-84-322-4064-5,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788432/978843224064.gif
10,La muerte contada por un sapiens a un neandertal,,"Millás, Juan José / Arsuaga, Juan Luis",ALFAGUARA,978-84-204-6105-2,18.90,18.17,https://static.cegal.es/imagenes/marcadas/9788420/978842046105.gif
11,Encuentra tu persona vitamina,,"Rojas Estapé, Marian",Espasa,978-84-670-6221-2,19.90,19.13,https://static.cegal.es/imagenes/marcadas/9788467/978846706221.gif
12,Las Perrerías de Mike 1. Mikecrack y la Estrella Maldita,,Mikecrack,Ediciones Martínez Roca,978-84-270-4929-1,19.90,19.13,https://static.cegal.es/imagenes/marcadas/9788427/978842704929.gif
13,La Bestia,Premio Planeta 2021,"Mola, Carmen",Editorial Planeta,978-84-08-24984-9,22.90,22.02,https://static.cegal.es/imagenes/marcadas/9788408/978840824984.gif
14,Por si las voces vuelven,,"Martín, Ángel",Editorial Planeta,978-84-08-24921-4,17.90,17.21,https://static.cegal.es/imagenes/marcadas/9788408/978840824921.gif
15,Cuando éramos ayer,,"Eyre, Pilar",Editorial Planeta,978-84-08-25473-7,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788408/978840825473.gif
16,Boulevard (Libro 1),Edición revisada por la autora,"Salvador, Flor M.",MONTENA,978-84-19169-18-1,15.95,15.34,https://static.cegal.es/imagenes/marcadas/9788419/978841916918.gif
17,Purgatorio,,"Sistiaga, Jon",PLAZA & JANES,978-84-01-02821-2,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788401/978840102821.gif
18,Nosotros en la luna,,"Kellen, Alice",Booket,978-84-08-23738-9,8.95,8.61,https://static.cegal.es/imagenes/marcadas/9788408/978840823738.gif
19,Últimos días en Berlín,Finalista Premio Planeta 2021,"Sánchez-Garnica, Paloma",Editorial Planeta,978-84-08-24985-6,22.90,22.02,https://static.cegal.es/imagenes/marcadas/9788408/978840824985.gif
20,Antes de diciembre,,"Marcús, Joana",MONTENA,978-84-18483-44-8,17.95,17.26,https://static.cegal.es/imagenes/marcadas/9788418/978841848344.gif
21,Haikyû!! nº 06,,"Furudate, Haruichi",Planeta Cómic,978-84-9174-769-7,7.95,7.64,https://static.cegal.es/imagenes/marcadas/9788491/978849174769.gif
22,Una historia ridícula,,"Landero, Luis",Tusquets Editores S.A.,978-84-1107-069-0,19.00,18.27,https://static.cegal.es/imagenes/marcadas/9788411/978841107069.gif
23,La señora March,,"Feito, Virginia",LUMEN,978-84-264-0965-2,19.90,19.13,https://static.cegal.es/imagenes/marcadas/9788426/978842640965.gif
24,Cauterio,,"Lijtmaer, Lucía",Editorial Anagrama,978-84-339-9946-7,18.90,18.17,https://static.cegal.es/imagenes/marcadas/9788433/978843399946.gif
25,Amanda Black 4 - La Campana de Jade,,"Gómez-Jurado, Juan / Montes, Bárbara",B de Blok,978-84-18688-27-0,14.96,14.38,https://static.cegal.es/imagenes/marcadas/9788418/978841868827.gif
26,El Principito (edición oficial),,"Saint-Exupéry, Antoine de",Salamandra Infantil y Juvenil,978-84-9838-149-8,6.95,6.68,https://static.cegal.es/imagenes/marcadas/9788498/978849838149.gif
27,Fleur. Mi desesperada decisión (DARKS 0),,"Godoy, Ariana",MONTENA,978-84-18798-71-9,17.95,17.26,https://static.cegal.es/imagenes/marcadas/9788418/978841879871.gif
28,La hipótesis del amor,,"Hazelwood, Ali",Contraluz Editorial,978-84-18945-18-2,18.95,18.22,https://static.cegal.es/imagenes/marcadas/9788418/978841894518.gif
29,Un cuento perfecto,,"Benavent, Elísabet",DEBOLSILLO,978-84-663-5481-3,9.95,9.57,https://static.cegal.es/imagenes/marcadas/9788466/978846635481.gif
30,Trilogía Fuego 1. Ciudades de humo,,"Marcús, Joana",Crossbooks,978-84-08-25185-9,17.95,17.26,https://static.cegal.es/imagenes/marcadas/9788408/978840825185.gif
31,Invisible,,"Moreno, Eloy",Nube de Tinta,978-84-16588-43-5,15.95,15.34,https://static.cegal.es/imagenes/marcadas/9788416/978841658843.gif
32,Tormenta en la villa de las telas (La villa de las telas 5),,"Jacobs, Anne",PLAZA & JANES,978-84-01-02751-2,20.90,20.10,https://static.cegal.es/imagenes/marcadas/9788401/978840102751.gif
33,Pierde grasa con comida real,Una guía para alcanzar una composición corporal saludable,"Ríos, Carlos",Ediciones Paidós,978-84-493-3918-9,17.95,17.26,https://static.cegal.es/imagenes/marcadas/9788449/978844933918.gif
34,Anhelo (Serie Crave 1),,"Wolff, Tracy",Editorial Planeta,978-84-08-23299-5,18.50,17.79,https://static.cegal.es/imagenes/marcadas/9788408/978840823299.gif
35,Casa de cielo y aliento (Ciudad Medialuna 2),,"Maas, Sarah J.",ALFAGUARA,978-84-204-5925-7,19.95,19.18,https://static.cegal.es/imagenes/marcadas/9788420/978842045925.gif
36,La vida contada por un sapiens a un neandertal,,"Millás, Juan José / Arsuaga, Juan Luis",ALFAGUARA,978-84-204-3965-5,18.90,18.17,https://static.cegal.es/imagenes/marcadas/9788420/978842043965.gif
